"Proposed_Model","Skin_Task","Architecture_Type","Combines_Methods","Main_Objective","Feature_Extraction","Cancer_Type","Database_Used","Number_Images","Balanced_Dataset","Image_Preprocessing","Validation_Type","Transfer_Learning","Data_Augmentation","Compared_Baselines","Evaluation_Metrics","Best_Result","Compared_SOTA","Tested_Different_Datasets","Limitations","Document Title"
"Adaptive Regularized Kernel Based Fuzzy algorithm","Yes","New","Yes","Segmentation","Yes","Melanoma","ISIC archive","232","Not informed","Yes","Not informed","Not informed","Not informed","No","Not informed","Not informed","No","No","Not informed","Skin lesion detection using adaptive regularized kernel based fuzzy algorithm"
"Depthwise Separable Convolutional Neural Network","Yes","New","No","Classification","Not informed","Melanoma","ISIC 2018 dataset","Not informed","Not informed","No","Not informed","Not informed","Not informed","Yes","Accuracy, Sensitivity, Specificity","87.24% Accuracy, 95.94% Sensitivity, 98.47% Specificity","Yes","No","Not informed","Depthwise Separable Convolutional Neural Network for Skin Lesion Classification"
"Fully Convolutional Network with Dense Pooling Layers","Yes","New","No","Segmentation","Not informed","Melanoma","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Yes","No","Not informed","Dense pooling layers in fully convolutional network for skin lesion segmentation"
"Deep Convolutional Networks (MobileNet and DenseNet-121)","Yes","Adaptation","No","Classification","Not informed","Various","HAM10000 dataset","Not informed","Yes","Yes","Not informed","Yes","Yes","Yes","Precision, Recall, F1-score, Specificity, ROC AUC","92.7% Accuracy (MobileNet) and 91.2% Accuracy (DenseNet-121)","Yes","No","Not informed","Enhanced Skin Lesions Classification Using Deep Convolutional Networks"
"Not informed","No","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Automated Machine Learning for Short-term Electric Load Forecasting"
"Generalized lesion detector based on Faster R-CNN","No","Adaptation","Yes","Detection","Yes","Not informed","Deeplesion dataset","Not informed","Not informed","Yes","Not informed","Yes","Not informed","No","Not informed","Not informed","No","No","Not informed","Generalized lesion detector based on convolutional neural network"
"Multi-Pooling Attention Learning","Yes","New","Yes","Classification","Yes","Melanoma","ISIC2017 dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","Not informed","Yes","No","Not informed","Multi-Pooling Attention Learning for Melanoma Recognition"
"ABCD Rule-based Detection","Yes","Not informed","No","Classification","Yes","Melanoma","Dermoscopic images dataset (200 images)","200","No","Yes (hair removal using morphological filter and thresholding)","Not informed","Not informed","Not informed","No","Accuracy, Specificity, Sensitivity","93.2% Accuracy, 92.59% Specificity, 90.15% Sensitivity","No","No","Not informed","Melanoma Skin Cancer Detection Based on ABCD Rule"
"Transfer Learning using MobileNet","Yes","Adaptation","No","Classification","Not informed","Skin cancer","HAM1000 skin lesion dataset","Not informed","Not informed","Not informed","Not informed","Yes","Not informed","No","Categorical accuracy, Precision, Recall","0.97 Categorical accuracy, 0.90 Precision, 0.91 Recall","No","No","Not informed","Classification of skin cancer dermoscopy images using transfer learning"
"Modified SegNet neural networks","Yes","Adaptation","No","Segmentation","Not informed","Melanoma","ISIC 2017 dataset","Not informed","Not informed","Not informed","Not informed","Not informed","Not informed","No","Dice coefficient, Jaccard indexes","Not informed","No","No","Not informed","Skin lesion segmentation based on modification of SegNet neural networks"
